Sample	Region	Class
GSM3333003	TC	AD
GSM3333004	TC	AD
GSM3333005	CR	AD
GSM3333006	FC	AD
GSM3333007	EC	AD
GSM3333008	FC	AD
GSM3333009	TC	AD
GSM3333010	CR	AD
GSM3333011	CR	AD
GSM3333017	CR	AD
GSM3333018	FC	AD
GSM3333019	TC	AD
GSM3333020	EC	AD
GSM3333021	EC	AD
GSM3333022	TC	AD
GSM3333023	CR	AD
GSM3333024	FC	AD
GSM3333025	EC	AD
GSM3333026	CR	AD
GSM3333027	EC	AD
GSM3333028	CR	AD
GSM3333029	TC	AD
GSM3333030	FC	AD
GSM3333031	CR	AD
GSM3333032	TC	AD
GSM3333033	FC	AD
GSM3333034	EC	AD
GSM3333039	TC	AD
GSM3333040	EC	AD
GSM3333041	FC	AD
GSM3333042	TC	AD
GSM3333043	CR	AD
GSM3333044	TC	AD
GSM3333045	EC	AD
GSM3333046	FC	AD
GSM3333047	TC	AD
GSM3333048	EC	AD
GSM3333049	FC	AD
GSM3333050	TC	AD
GSM3333054	TC	AD
GSM3333055	EC	AD
GSM3333056	FC	AD
GSM3333057	EC	AD
GSM3333058	FC	AD
GSM3333059	CR	AD
GSM3333060	TC	AD
GSM3333061	EC	AD
GSM3333062	EC	AD
GSM3333063	FC	AD
GSM3333064	EC	AD
GSM3333065	TC	AD
GSM3333066	CR	AD
GSM3333067	CR	AD
GSM3333068	EC	AD
GSM3333069	TC	AD
GSM3333070	TC	AD
GSM3333071	FC	AD
GSM3333072	FC	AD
GSM3333073	TC	AD
GSM3333074	EC	AD
GSM3333075	CR	AD
GSM21215	HIP	CT
GSM21217	HIP	CT
GSM21218	HIP	CT
GSM21219	HIP	CT
GSM21220	HIP	CT
GSM21221	HIP	CT
GSM21226	HIP	CT
GSM21231	HIP	CT
GSM21232	HIP	CT
GSM119615	EC	CT
GSM119616	EC	CT
GSM119617	EC	CT
GSM119618	EC	CT
GSM119619	EC	CT
GSM119620	EC	CT
GSM119621	EC	CT
GSM119622	EC	CT
GSM119623	EC	CT
GSM119624	EC	CT
GSM119625	EC	CT
GSM119626	EC	CT
GSM119627	EC	CT
GSM119628	HIP	CT
GSM119629	HIP	CT
GSM119630	HIP	CT
GSM119631	HIP	CT
GSM119632	HIP	CT
GSM119633	HIP	CT
GSM119634	HIP	CT
GSM119635	HIP	CT
GSM119636	HIP	CT
GSM119637	HIP	CT
GSM119638	HIP	CT
GSM119639	HIP	CT
GSM119640	HIP	CT
GSM119641	MTG	CT
GSM119642	MTG	CT
GSM119643	MTG	CT
GSM119644	MTG	CT
GSM119645	MTG	CT
GSM119646	MTG	CT
GSM119647	MTG	CT
GSM119648	MTG	CT
GSM119649	MTG	CT
GSM119650	MTG	CT
GSM119651	MTG	CT
GSM119652	MTG	CT
GSM119653	PC	CT
GSM119654	PC	CT
GSM119655	PC	CT
GSM119656	PC	CT
GSM119657	PC	CT
GSM119658	PC	CT
GSM119659	PC	CT
GSM119660	PC	CT
GSM119661	PC	CT
GSM119662	PC	CT
GSM119663	PC	CT
